"ID","Pillar","Title","Primary Keyword","Secondary Keywords","Funnel Stage","Item Type","Audience","Language","Roadmap-Dependent","Description"
"83","PDF<->IFC docs","One model, many disciplines, one document set: federated IFC coordination zonder PDF-spaghetti","federated ifc coordination","multi-discipline ifc model; gefedereerd bim model; construction document management bim","MoFu","Problem->Solution","BIM-manager","Both","N","When constructeur, architect en installateur elk hun eigen PDF-set rondsturen, ontstaat een spaghetti van overlappende, tegenstrijdige documenten die op de bouwplaats niet meer te ontwarren is. BimDossier laadt meerdere disciplines als een gefedereerd IFC-model in een scene met storey-isolatie, display modes en split view, zodat coordinatie op het model gebeurt in plaats van op stapels tekeningen. Bevindingen worden per element vastgelegd, niet per losse PDF, wat de uitvoeringsfase ordent."
"84","Quantity takeoff","Element counts as a model-quality smoke test: spotting a broken IFC before you trust its quantities","ifc model quality check","ifc element count check; model validation before takeoff; openbiim data quality; verify ifc export","MoFu","How-to","BIM-manager","EN","N","Before trusting any takeoff, a coordinator needs a fast sanity check: does this 12-storey model really contain only 40 walls and zero doors? Manually opening models to count is slow. BimDossier computes element counts grouped by IFC class (and a canonical mapping) on every ingest and shows them in Model Info, giving an instant smoke test that flags an under-populated or mis-exported model before its quantities feed anything downstream. The feature is the metadata extraction's per-class element counts plus the ModelInfo panel."
"85","BIM for QA","Bewijs op het model: waarom fotobewijs verankerd aan een IFC-element je 10-jaars aansprakelijkheid afdekt","fotobewijs wkb dossier","bewijs op model bim; ifc element fotobewijs; wkb aansprakelijkheid bewijs; opleverdossier bewijslast","MoFu","Problem->Solution","Aannemer","NL","N","De uitdaging: onder de Wkb moet je tien jaar lang kunnen aantonen dat een bouwdeel voldeed, maar losse mappen met foto's zonder context zijn juridisch zwak en moeilijk terug te vinden. BimDossier verankert fotobewijs aan de bevinding en daarmee aan het IFC-element (global_id) in de viewer, met server-side timestamp en EXIF/geolocatie uit de mobiele inspectie-app. Zo ontstaat een modelgekoppelde bewijsketen die per bouwdeel terug te halen is in plaats van een ongestructureerd fotoarchief."
"86","Ops & digital","Van bevinding naar BBL-artikel in één klik: de toekomst van geïntegreerde Wkb-borging","geautomatiseerde wkb borging bouw","bbl artikel koppelen bevinding; automatische compliance bouw; snag gekoppeld aan bouwregel; opleverdossier automatiseren","MoFu","Thought-leadership","Aannemer","Both","Y","Vandaag kost het koppelen van een bevinding aan het juiste BBL/Wkb-artikel handmatig opzoekwerk, waardoor borging arbeidsintensief en foutgevoelig blijft. BimDossier zet vandaag al bevindingen vast op het IFC-element en draait een geautomatiseerde compliance-engine; de visie (op de roadmap, eerlijk geflagd als 'coming') is dat een snag op een 2D-tekening automatisch oplost naar het IFC-element én het BBL/Wkb-artikel auto-tagt, met one-click oplevering naar het Wkb-opleverdossier inclusief e-handtekening. Specifieke feature: bestaande findings + compliance-engine; toekomstig: drawing-pinned snags die auto-taggen naar het BBL-artikel + one-click handover (roadmap)."
"87","Field & snagging","Digitale opname op de bouwplaats: bevindingen vastleggen met fotobewijs en eenduidige status","digitale opname bouw","digitale opname app; bevindingen vastleggen; fotobewijs bouwplaats; opname met severity","MoFu","How-to","Aannemer","NL","N","Bij een opname op locatie verzanden bevindingen vaak in losse foto's, WhatsApp-berichten en e-mails zonder eigenaar, status of resolutie-historie. BimDossier structureert de opname via findings/bevindingen management met severity, assignee, resolutielifecycle en gekoppeld fotobewijs, zodat elk gebrek een traceerbare levensloop krijgt. De mobiele inspectie-app legt de opname direct ter plekke vast in plaats van achteraf op kantoor over te typen."
"88","BCF collaboration","BCF Viewpoints Explained: How a Single File Carries Camera, Section Cuts and Selected Elements","bcf viewpoint explained","bcf camera viewpoint; bcf clipping planes; bcf components selection; bim issue snapshot","ToFu","Educational","BIM-coordinator","EN","N","A reviewer writes 'see the duct near the stair' and the recipient spends ten minutes hunting for it. This post unpacks the BCF viewpoint: the camera position/direction, clipping planes and the exact components that were visible. BimDossier captures the same state behind every finding pin (camera vector, section planes, the anchored IFC element), so reopening an issue restores the precise view its author saw, no hunting required."
"89","openBIM literacy","From IFC Model to Quantity Takeoff: How openBIM Data Will Power Automated Hoeveelheden","quantity takeoff from IFC","IFC quantity takeoff; automated BIM takeoff; openBIM hoeveelheden; IFC QTO openBIM","MoFu","Educational","Werkvoorbereider","Both","Y","Werkvoorbereiders still re-measure quantities by hand from drawings even though the IFC model already carries volumes, areas and counts, duplicating effort and inviting transcription errors. This article explains how base quantities and property sets in IFC make automated takeoff possible across any authoring tool. BimDossier already extracts structured element data from uploaded IFC models in its pipeline, and automated quantity takeoff from IFC is on the roadmap (vision), pointing toward a future where the same openBIM model that drives the 3D viewer and compliance checks also produces hoeveelheden directly, with no separate measuring step."
"90","BBL technical","Why BBL compliance findings belong on the IFC element, not in a spreadsheet","bbl compliance findings ifc element","finding pinned to ifc; global_id compliance tracking; model based snagging compliance; bcf compliance handoff","BoFu","Problem->Solution","Aannemer","EN","N","Compliance issues are usually logged as a row in a spreadsheet that loses the link to the physical element, so resolving and re-verifying them is guesswork. BimDossier raises each BBL violation as a finding anchored to the IFC element via its global_id, viewable in the 3D viewer with severity, assignee and photo evidence, so the contractor fixes the exact component the rule flagged. As a vision step, the roadmap connects 2D drawing-pinned snags that auto-resolve to the IFC element and auto-tag the BBL/Wkb article, closing the loop from code clause to fixed element."
"91","Wkb filings","10-jaarsaansprakelijkheid onder de Wkb: waarom je bewijslast tijdens de bouw moet vastleggen, niet erna","10 jaar aansprakelijkheid wkb","wkb aansprakelijkheid aannemer; bewijslast bouw vastleggen; opleverdossier aansprakelijkheid","MoFu","Problem->Solution","Aannemer","NL","N","De verzwaarde aansprakelijkheid onder de Wkb verschuift de bewijslast naar de aannemer voor maar liefst tien jaar, terwijl bewijs achteraf reconstrueren bijna onmogelijk is. BimDossier legt tijdens de uitvoering aantoonbaar bewijs vast - bevindingen met foto-bewijs verankerd aan het IFC-element (global_id), een audit log/activiteitenfeed en per-borgingsmoment gedocumenteerde controles - zodat het opleverdossier later als verdedigbare bewijslast staat in plaats van een papieren formaliteit."
"92","BIM for QA","Federatieve coördinatie als kwaliteitsinstrument: van clash detection naar Wkb-borging in één model","federatief model kwaliteitsborging","clash detection wkb; multidisciplinair ifc model borging; federated coordination quality; openbim coordinatie kwaliteit","MoFu","Thought-leadership","BIM-manager","Both","N","De uitdaging: federatieve modellen worden gebruikt voor clash detection in de ontwerpfase, maar in de uitvoeringsfase wordt die multidisciplinaire coördinatie zelden ingezet voor kwaliteitsborging onder de Wkb. BimDossier laadt federatieve, multidisciplinaire IFC-modellen in één scène (storey-isolatie, display modes, sectievlakken) en hangt bevindingen en borgingsmomenten aan de juiste discipline-elementen, zodat coördinatie doorloopt van ontwerp naar borging. Het betoog: hetzelfde federatieve model dat clashes ving, hoort de drager te zijn van het uitvoerings-kwaliteitsbewijs."
"93","BBL technical","Toegankelijkheid volgens het BBL in je BIM-model: drempels, deurvrijmaten en rolstoeltoegang","toegankelijkheid eisen bouwbesluit","rolstoeltoegankelijkheid bbl; drempel hoogteverschil eisen; deur vrije doorgang; toegankelijke entree eisen","MoFu","Educational","Architect","NL","N","Toegankelijkheidseisen (drempelhoogtes, vrije deurdoorgangen, hellingbanen, rolstoeltoegang, sanitaire afmetingen) zijn makkelijk over het hoofd te zien tot een oplevering ze blootlegt. BimDossier bevat een toegankelijkheidsregelset die entrees, deuren, hellingbanen en circulatieruimtes uit het IFC-model toetst en knelpunten als bevinding teruggeeft. Zo wordt toegankelijkheid een modelcontrole in plaats van een verrassing op de bouwplaats."
"94","PDF<->IFC docs","Van losse PDF's naar een filing-ready opleverdossier: dossier-assemblage uit gemengde documenten","opleverdossier samenstellen wkb","dossier bevoegd gezag opbouwen; wkb dossier documenten; opleverdossier pdf ifc","BoFu","How-to","Aannemer","NL","N","Een Wkb-opleverdossier bestaat uit een mix van PDF-tekeningen, foto's, certificaten en modeldata die normaal handmatig in mappen worden samengeharkt vlak voor de gereedmelding. BimDossier bouwt het dossier gestructureerd op met de dossier-readiness checklist (template per bouwtype/jurisdictie), certificaatbeheer met verloopbewaking en auto-gegenereerde compliance-PDF's (borgingsplan, verklaring kwaliteitsborger, dossier bevoegd gezag). De one-click Wkb-handover met e-signature is de richting waar we naartoe werken."
"95","Ops & digital","Hoe je Wkb-deadlines beheert over meerdere projecten zonder dat er één bouwmelding wordt gemist","wkb deadlines","bouwmelding termijn; gereedmelding deadline; informatieplicht termijn; wkb planning meerdere projecten","MoFu","How-to","Projectmanager","NL","N","Wkb-termijnen — bouwmelding 4 weken vóór start, informatieplicht 2 werkdagen vooraf, gereedmelding 10 werkdagen na oplevering — zijn per project te overzien maar onbeheersbaar over een hele portefeuille, en een gemiste melding bij het Omgevingsloket legt de bouw stil. BimDossier berekent deze deadlines automatisch met Nederlandse werkdag- en feestdaglogica vanaf de projectwizard (met PDOK-adres) en stuurt e-mailherinneringen op T-30/-14/-7/-1. Specifieke feature: auto-berekende Wkb-deadlines + deadline tracker met getrapte e-mailreminders."
"96","openBIM literacy","openBIM vs Closed BIM: Why Vendor-Neutral Formats Protect Your Project Data for the Next 10 Years","openBIM vs closed BIM","openBIM benefits; vendor lock-in BIM; why use IFC openBIM; vendor-neutral BIM workflow","ToFu","Thought-leadership","BIM-manager","EN","N","Owners and contractors fear locking critical project data inside one vendor's proprietary file format, especially when they must keep records accessible for a decade of liability. This piece makes the openBIM case (IFC, BCF, buildingSMART standards) against closed, single-tool ecosystems, framed around long-term data ownership. BimDossier is built openBIM-first: it ingests IFC models in its viewer and is wiring up BCF 2.1/3.0 import/export (roadmap), so coordination issues and the eventual compliance dossier live in open, portable formats rather than a format you can only read with the tool that made it."
"97","Field & snagging","Gebreken registreren tijdens een borgingsmoment: van losse foto naar Wkb-bewijslast","gebreken registreren borgingsmoment","borgingsmoment inspectie; gebreken vastleggen Wkb; bevinding borgingsplan; kwaliteitsborging inspectie","MoFu","Problem->Solution","Kwaliteitsborger","NL","N","Een kwaliteitsborger moet bij elk borgingsmoment aantonen dat geconstateerde afwijkingen zijn opgevolgd, maar handmatige notities sluiten zelden aan op het borgingsplan en de bewijslast voor het dossier bevoegd gezag. BimDossier koppelt bevindingen aan de borgingsmomenten uit het gegenereerde borgingsplan/risicobeoordeling, met fotobewijs en resolutielifecycle als onderbouwing. Zo wordt elke geregistreerde afwijking automatisch onderdeel van de aantoonbare kwaliteitsborging in plaats van een los inspectierapport."
"98","Dossier & handover","De audit trail bij oplevering: hoe je aantoont dat elke bevinding is afgehandeld","audit trail oplevering","audit trail bouw Wkb; bewijslast oplevering; traceerbaarheid bevindingen; dossier aantoonbaarheid","MoFu","Educational","Kwaliteitsborger","NL","N","Bij een geschil onder de 10-jarige aansprakelijkheid moet de aannemer aantonen wie wat wanneer heeft opgelost, maar die historie zit verspreid over apps, foto's en mails. Het artikel legt uit waarom een sluitende audit trail de kern van een verdedigbaar opleverdossier is en laat zien hoe BimDossier dit levert via de auditlog/activiteitenfeed gekoppeld aan de bevindingen-lifecycle met fotobewijs en resolutiestatus per IFC-element."
"99","BCF collaboration","BCF in de Nederlandse bouw: modelgebaseerde issues koppelen aan Wkb-bevindingen","bcf bim issues nederlandse bouw","bcf bevindingen koppelen; modelgebaseerd issue management; bim coordinatie wkb; ifc bevinding ifc element","MoFu","Problem->Solution","BIM-manager","NL","Y","BIM-coordinatoren beheren coordinatie-issues in BCF, maar Wkb-bevindingen leven los in losse lijsten of e-mail, los van het model. BimDossier behandelt een bevinding als first-class object met severity, toewijzing en levenscyclus, vastgepind op het IFC-element (global_id) in de 3D-viewer. De post laat zien hoe een coordinatie-issue en een kwaliteitsbevinding op hetzelfde model samenkomen, met BCF import/export in aanbouw om issues uit elke tool binnen te halen."
"100","Quantity takeoff","Classificatie (NL/SfB, Uniclass) in IFC: de sleutel om hoeveelheden naar de juiste calculatieregel te mappen","nl/sfb classificatie ifc","uniclass ifc takeoff; classificatie hoeveelheden mappen; ifcclassificationreference; codering elementen ifc","MoFu","Educational","BIM-manager","NL","Y","Zonder consistente classificatie (NL/SfB of Uniclass) per element kun je geextraheerde hoeveelheden niet automatisch koppelen aan calculatieregels of dossierposten - het blijft handwerk per object. Dit artikel legt uit hoe classificatie in IFC hoort te zitten en waarom het de brug is tussen modeldata en kosten. BimDossier leest de property sets en attributen per element uit en mapt herkende elementen naar een canoniek type dat de compliance- en dossierlogica gebruikt; de feature is de canonieke type-mapping in de extractiepijplijn plus het eigenschappenpaneel dat de aangeleverde classificatie-psets per element toont."
